"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "fdr"
"PHF5A" 0.00117745823739326 0.843596972411462 0.61 0.276 1 0.0377665336143002
"XRCC5" 0.00124140362161957 0.404432765241021 0.952 0.69 1 0.0385125793304893
"CNN2" 0.00126425065217438 0.312450795561085 0.981 0.793 1 0.0385125793304893
"RNF168" 0.00127028204196207 0.554553872219211 0.81 0.586 1 0.0385125793304893
"UBE2T" 0.00128036336160326 0.901607632677652 0.619 0.276 1 0.0385125793304893
"IK" 0.00129742622232587 0.765601032238254 0.714 0.379 1 0.0385125793304893
"AC007250.3" 0.00133232005457517 0.402382489660647 0.914 0.69 1 0.0385125793304893
"YES1" 0.00133437796644338 0.810629965052509 0.648 0.379 1 0.0385125793304893
"SNRPD1" 0.00135165422697713 0.61789823536762 0.752 0.448 1 0.0385125793304893
"C9orf3" 0.00137230237723428 0.841987799688707 0.629 0.241 1 0.0385125793304893
"FDFT1" 0.00137992955255825 0.644246650192395 0.781 0.448 1 0.0385125793304893
"TPM3" 0.00142504906399268 0.366028958842813 0.943 0.724 1 0.0392619286989777
"RPL26" 0.00144792080359505 -0.109631651268504 0.971 1 1 0.0393722248269888
"LASP1" 0.00146569473529972 0.813335246079599 0.638 0.31 1 0.0393722248269888
"SNRPC" 0.00149598705793794 0.900098683751192 0.59 0.241 1 0.0395819382216662
"PACSIN2" 0.00151033919691793 0.694528507077362 0.733 0.414 1 0.0395819382216662
"MTHFD2" 0.00167057128255954 0.477498581157263 0.848 0.621 1 0.0431866916734301
"PMVK" 0.00171976149997285 0.817810130279925 0.648 0.31 1 0.0431866916734301
"FTHL10" 0.00172341353109534 0.262061833842886 0.99 0.897 1 0.0431866916734301
"OBP2B" 0.00172827151415309 0.677037072360732 0.762 0.448 1 0.0431866916734301
"AKR1B1" 0.00179947710562839 0.955349758782298 0.552 0.207 1 0.0435642610094881
"SYPL1" 0.00181886276909039 0.521183065030506 0.857 0.552 1 0.0435642610094881
"LPAR2" 0.00184811216211303 0.911952667003242 0.581 0.241 1 0.0435642610094881
"PHB" 0.00188650778003505 0.729794456420812 0.676 0.379 1 0.0435642610094881
"THOC6" 0.00189139980792318 0.904118348794277 0.571 0.31 1 0.0435642610094881
"TMX1" 0.00190335603091239 0.811594226812165 0.61 0.31 1 0.0435642610094881
"SDHA" 0.0019582966760676 0.459000978179334 0.914 0.69 1 0.0435642610094881
"NUBP2" 0.00198978417070966 0.801254550499332 0.648 0.276 1 0.0435642610094881
"NDUFS7" 0.00201892542252411 0.539426885062861 0.838 0.517 1 0.0435642610094881
"TAOK3" 0.00202505348467866 0.703189793136516 0.724 0.448 1 0.0435642610094881
"MRPS9" 0.0020381659343456 0.887433622378638 0.581 0.276 1 0.0435642610094881
"PTRF" 0.0020414942331168 0.498902320220451 0.857 0.655 1 0.0435642610094881
"PSME2" 0.00205176494027194 0.885433039012933 0.562 0.276 1 0.0435642610094881
"MED15" 0.00205935567585659 0.634353695435045 0.771 0.483 1 0.0435642610094881
"PES1" 0.00206111084660658 0.760456855093953 0.676 0.345 1 0.0435642610094881
"RP11-19E11.1" 0.00206773132757924 0.552889509059785 0.829 0.552 1 0.0435642610094881
"RP5-1102E8.2" 0.00209146902545939 0.459903512093012 0.857 0.69 1 0.0436365721913809
"TAGLN2P1" 0.00217900102363843 0.303951718814738 0.924 0.793 1 0.0450257038442209
"SEH1L" 0.00223708139072491 0.684639700159384 0.724 0.414 1 0.0457663708905083
"MCM3" 0.0022574384897133 0.606564272207395 0.781 0.552 1 0.0457663708905083
"LGALS1" 0.00239705853923102 0.31496886051901 0.952 0.759 1 0.0476204129252776
"GAPDH" 0.00240664906159532 0.100423139977346 1 0.966 1 0.0476204129252776
"POLR2L" 0.00243113748276229 0.530569713853839 0.819 0.483 1 0.0476204129252776
"RP11-3P17.3" 0.00245421882093488 -0.127151858051731 0.99 1 1 0.0476204129252776
"DNAJC8" 0.00245968628883472 0.736069823645764 0.695 0.345 1 0.0476204129252776
"COPS6" 0.00250782271608866 0.651994842446623 0.733 0.483 1 0.0481188483649512
"PRKCDBP" 0.00258772170157074 0.923192075991702 0.543 0.207 1 0.0492125127139427
"KRT16" 0.00264494719568367 0.618567522222004 0.829 0.621 1 0.0493094670272643
"STMN1" 0.00265209165576096 0.180855784681574 0.99 0.897 1 0.0493094670272643
"RP11-215C7.2" 0.00266649853817945 0.226986770561387 0.981 0.862 1 0.0493094670272643
"RNASEH2A" 0.00268460104336432 0.811727101608034 0.61 0.31 1 0.0493094670272643
"PDIA6" 0.00274391737365575 0.48694213603022 0.857 0.586 1 0.0499718511524254
"RAB11FIP1" 0.00292575086480106 0.737863983136523 0.629 0.345 1 0.0524432243629652
"RFC3" 0.00295171237552222 0.85704635137813 0.562 0.241 1 0.0524432243629652
"POLD2" 0.00295282929172582 0.509577979526331 0.829 0.586 1 0.0524432243629652
"AC079337.1" 0.00300526451460106 0.432037627359886 0.857 0.621 1 0.0529369954252268
"CTD-2324A24.1" 0.00304609085793409 0.179738028979384 1 0.931 1 0.0530684089290777
"MCM7" 0.00306211387026786 0.28294403021101 0.971 0.828 1 0.0530684089290777
"VIM" 0.00309263796928158 0.115792504750208 1 0.966 1 0.0531686319678889
"NF2" 0.0031728217429813 0.72942447075984 0.648 0.345 1 0.0540233740911409
"BABAM1" 0.00319803144794478 0.535074377797932 0.81 0.552 1 0.0540233740911409
"RPS11P5" 0.00321777193283668 0.28144424720551 0.971 0.724 1 0.0540233740911409
"TPGS2" 0.0033292674175732 0.499549033848806 0.848 0.586 1 0.0554619820183318
"LOX" 0.00343479167532929 0.564218960021693 0.79 0.517 1 0.0564287754040494
"SERINC3" 0.00344532766860428 0.404929180255624 0.895 0.724 1 0.0564287754040494
"RP11-386M24.2" 0.00346607647898303 0.37345652511391 0.914 0.69 1 0.0564287754040494
"NDUFB8" 0.00353845546520221 0.634519195795623 0.695 0.414 1 0.057173990937741
"CLIC4" 0.00376368109751698 0.399854957345202 0.905 0.759 1 0.059361863306008
"SELT" 0.00376768651883225 0.710912315646445 0.667 0.379 1 0.059361863306008
"GRB2" 0.00376813550609807 0.767924711404434 0.6 0.276 1 0.059361863306008
"HELLS" 0.00378435331452913 0.71758822007519 0.667 0.345 1 0.059361863306008
"CXCR4" 0.00387670393130265 0.588087979326395 0.781 0.483 1 0.0603478659468386
"PRDX5" 0.0039073172547918 0.48301167863414 0.848 0.552 1 0.0603478659468386
"FLII" 0.00393145706494063 0.742158721182167 0.629 0.31 1 0.0603478659468386
"EIF3F" 0.00403706139011539 0.336446270497993 0.924 0.724 1 0.0608595006904059
"EDIL3" 0.00404687303184315 0.727380516183974 0.629 0.379 1 0.0608595006904059
"CD151" 0.00404974806827736 0.160647924644135 1 0.966 1 0.0608595006904059
"SF3A3" 0.00410107577934407 0.640843025639326 0.724 0.414 1 0.0612028600681278
