"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"SKIV2L2",0.000316955680815707,0.00985749884782519,0.288,0.226,1,0.000518401104714422
"HIGD1A",0.000317494618143306,-0.06588048346533,0.292,0.319,1,0.000518825857968568
"DYNLL2",0.000320388643547309,-0.0335736067467598,0.298,0.275,1,0.000523094990958612
"MTUS1",0.000321824024182484,0.0843645922261123,0.337,0.207,1,0.000524977205382841
"NBEAL1",0.000324949661399933,-0.0283452298959866,0.415,0.392,1,0.000529610939369364
"RXRA",0.00032840971987404,0.0248223317791722,0.35,0.275,1,0.000534781121407508
"ANKRD37",0.000332263680323351,0.0607901479053126,0.294,0.194,1,0.000540583115622405
"CYP2S1",0.000333461619931751,0.0481212918936789,0.253,0.177,1,0.000542057471420117
"PLIN3",0.000335441967798714,-0.0179715522910149,0.415,0.359,1,0.00054479997916959
"TRIM56",0.000336171090385104,-0.0166966465753885,0.436,0.383,1,0.000545507323961156
"UROS",0.000338037262406484,-0.0413904950590298,0.256,0.252,1,0.000548056922819588
"PDXK",0.000341616290585614,-0.158809865249374,0.492,0.533,1,0.00055337669390416
"COL18A1",0.00035830650662203,-0.0922422245449019,0.246,0.269,1,0.00057990722064785
"ATP1B1",0.000363443781722608,0.0221162365118313,0.77,0.656,1,0.000587709788024895
"ARL4D",0.000371415927779257,0.035805342210025,0.238,0.168,1,0.000600078951142487
"PARM1",0.000375917243822414,-0.0258437593071659,0.305,0.285,1,0.000606823839289353
"GABRP",0.000405656996483177,0.0505755218883904,0.302,0.234,1,0.000654262759952901
"TWISTNB",0.000441951576999738,0.00229513371909623,0.372,0.306,1,0.000712182159640514
"TNFRSF14",0.000445153890565704,-0.0704019088513997,0.267,0.289,1,0.000716720908727104
"MBD2",0.000461687223589824,0.0418407579194912,0.361,0.283,1,0.000742696849722851
"SPTBN1",0.000466920942561389,-0.0916808670233376,0.339,0.339,1,0.000750466359237942
"ARIH1",0.000505573573641903,-0.0784702606951964,0.322,0.331,1,0.000811889109616816
"ALG1L",0.000517353998871838,0.0699781336145756,0.297,0.191,1,0.000830089576773639
"ARIH2",0.000552300333476571,-0.0449563440180514,0.229,0.239,1,0.000885396047971932
"KRT14",0.000561336687180859,0.0410215927685064,0.414,0.364,1,0.000899106521363824
"AKT1S1",0.000611603136526161,-0.0473413017141649,0.289,0.293,1,0.000978775734423434
"GTF2E2",0.000619127512548139,0.0476417336909115,0.405,0.321,1,0.000989964645709503
"ORMDL2",0.000622268632430708,-0.00250951688273215,0.471,0.42,1,0.000994131658689816
"BLOC1S2",0.000649105076896399,0.0461287610618094,0.446,0.366,1,0.00103611446123154
"PLAC8",0.000671361006313263,0.15060302697168,0.672,0.494,1,0.00107071995684982
"TINAGL1",0.000672030414688666,-0.126339949849792,0.396,0.447,1,0.00107086836234266
"MAP4K4",0.000684228941588105,-0.040044323253037,0.262,0.242,1,0.00108937221377095
"MID1IP1",0.000700366052251492,0.0267211149294718,0.356,0.292,1,0.00111410969613294
"AMTN",0.00074854451513862,-0.141394930708644,0.145,0.173,1,0.00118973114553255
"CTSA",0.000761235688520716,0.0246273066485146,0.459,0.372,1,0.00120886829852264
"CCL2",0.000783884407027611,0.0119227481649528,0.249,0.228,1,0.00124377218467746
"CMIP",0.0007898047925096,0.0271014865554879,0.274,0.203,1,0.00125209667617989
"ANXA2",0.000816196070361033,0.0123135790862114,0.974,0.957,1,0.00129283230923342
"SCAND1",0.000831798524558285,-0.0534945878784264,0.468,0.47,1,0.00131642390002495
"NR1D2",0.000834700755488045,-0.00570277673724123,0.232,0.198,1,0.00131989276910365
"TRIB2",0.000865778355284822,0.00442688911499681,0.241,0.206,1,0.00136787090486326
"VPS37B",0.000891113922792276,-0.0275552497574184,0.284,0.249,1,0.00140670320182502
"MYEOV2",0.000895237555686953,0.037001204978878,0.759,0.696,1,0.00141201305472526
"TCF3",0.000900856010805357,-0.0446209705883108,0.221,0.204,1,0.00141966960820726
"SLC5A6",0.000922061668441747,-0.153575878910541,0.145,0.234,1,0.00145185642369895
"BCL10",0.000923167893351079,-0.0136018413641039,0.25,0.224,1,0.00145236743932795
"MBOAT7",0.000966119921334853,-0.0313232002030183,0.266,0.257,1,0.00151865551086308
"TMC8",0.000976589028134756,0.0447611904044377,0.286,0.202,1,0.00153381438231139
"DNAJA1",0.000988475319013147,-0.158037229928143,0.791,0.806,1,0.00155117157324867
"MYO6",0.00102951714849649,-0.128481122237008,0.483,0.492,1,0.00161421338557509
"STAT6",0.00103321121068232,0.00637559579584429,0.345,0.286,1,0.00161863948520046
"AFF4",0.00103443259612477,-0.0117185981960443,0.337,0.302,1,0.00161918766941856
"PRKAR2A",0.00104909257452533,-0.0134522734103641,0.263,0.237,1,0.00164075252817177
"KLF13",0.00106917548170748,-0.0419081995505332,0.339,0.306,1,0.00167075529437553
"TAF10",0.00110806529707878,0.0371122949289207,0.367,0.296,1,0.00173007169913644
"ABHD2",0.00116087151167028,0.0100802742102326,0.275,0.226,1,0.00181099854633366
"RAB27B",0.00116194027438925,0.0149849332001316,0.322,0.259,1,0.00181114515924096
"SMCHD1",0.0011703713704173,-0.0486152097222373,0.314,0.306,1,0.00182275775878906
"BCAP29",0.00120407936508845,0.00908583622093362,0.444,0.368,1,0.00187368464014601
"MTIF3",0.00128643401043317,-0.0321422652720849,0.389,0.368,1,0.00200016267061492
"CYP1B1",0.00129437633864562,-0.264683239174822,0.159,0.239,1,0.00201082879364846
"FAM63B",0.00130466054746796,0.0157642228536597,0.287,0.222,1,0.0020251121948166
"SREBF2",0.00133596527381604,0.00969748277697674,0.314,0.262,1,0.00207197285371469
"DSG3",0.00135142720168264,0.0956136345747404,0.423,0.271,1,0.00209420495473424
"ALDOA",0.00139308253925766,0.0972569521381039,0.979,0.949,1,0.00215695613161728
"MLF1",0.00171902330555342,-0.0169515977291161,0.5,0.464,1,0.00265940491400354
"RRP1",0.00178591496841437,0.00818702446264313,0.388,0.34,1,0.00276059069160891
"PON2",0.00181825060507602,-0.058809822157697,0.355,0.341,1,0.00280823742662613
"CTSC",0.00187118278715352,0.0669542805184972,0.515,0.395,1,0.00288758938416217
"SRI",0.00187417373764758,0.0147520387864757,0.543,0.479,1,0.00288954783817787
"CSNK1E",0.00187556226740716,0.0122835148927982,0.428,0.365,1,0.00288954783817787
"DSG2",0.00191523732996354,-0.0186978499742766,0.429,0.377,1,0.00294822780370527
"YPEL3",0.00195525244545169,0.126329625383271,0.527,0.384,1,0.00300733364540501
"HIF1A",0.00211370302779767,0.020842659658856,0.344,0.273,1,0.00324835419822007
"EMP3",0.00221652979429104,-0.0713505692952591,0.392,0.383,1,0.00340356393206012
"OPTN",0.0022236233899564,-0.0513691456416462,0.42,0.412,1,0.00341163687740627
"GUSB",0.00227688501382435,-0.0348264955248678,0.303,0.292,1,0.00349047224066472
"GRB7",0.00230712033699666,0.00478404801267551,0.347,0.279,1,0.00353390732575416
"CTD-3252C9.4",0.00232182223261173,0.026007538432757,0.437,0.361,1,0.00355349728846178
"TEAD2",0.0023805952540223,-0.0327513728011746,0.215,0.212,1,0.00364044936787937
"SMIM4",0.00245554323588116,-0.0671847465217753,0.201,0.232,1,0.00375197313508816
"MSMB",0.00254464757459852,-0.0640046326793451,0.149,0.153,1,0.00388492620674121
"SOX9",0.00255376837646254,-0.116903283090885,0.243,0.292,1,0.00389564995358571
"MT-ND6",0.00261315851936127,-0.136448558964542,0.362,0.398,1,0.00397987531266389
"C10orf10",0.00261326581348221,-0.0252032739095892,0.347,0.32,1,0.00397987531266389
"PPIF",0.002653366315836,-0.00180316064896657,0.381,0.327,1,0.00403763686717714
"CMTM6",0.00266679790970404,-0.0321022141327993,0.404,0.385,1,0.00405475492326523
"FABP5",0.00267680485413063,0.167194620506562,0.571,0.446,1,0.00406664220684768
"BIN1",0.00276114090381917,-0.105097350255373,0.16,0.213,1,0.0041913397053072
"LTB",0.00279624083023051,-0.0571143645322571,0.159,0.165,1,0.00424115547964758
"FRMD4A",0.00279945568103213,-0.0273283571031363,0.33,0.313,1,0.00424256823438638
"FAM46A",0.00285269584320068,-0.0974069727977906,0.17,0.209,1,0.00431973013583281
"LTF",0.00285587116043013,-0.225666728233746,0.259,0.314,1,0.0043210167883381
"CXCL16",0.00289966845284767,-0.036460226743735,0.33,0.315,1,0.00438371357639623
"ANXA8",0.00292520066203526,0.0419753816456302,0.422,0.317,1,0.00441871774801748
"S100A16",0.00294021683048311,0.132624844919495,0.894,0.784,1,0.00443779274657808
"ECE2",0.00297644165511178,0.012739614218744,0.294,0.238,1,0.00448882191168644
"PPP1R15A",0.00299665980331137,-0.0945853412789143,0.673,0.67,1,0.00451564794367602
"SUGP2",0.00300841120254804,-0.0370821440130213,0.225,0.211,1,0.00452968234548968
"VAMP5",0.00310204246259207,-0.115045323784059,0.282,0.331,1,0.00466687845789156
"CYB5R1",0.0031490966640872,-0.0505026734816444,0.321,0.312,1,0.00473383624747089
"IFRD2",0.00320069983648419,-0.070055861148005,0.244,0.267,1,0.00480751842860762
"GOLIM4",0.00323724243915345,-0.0189186482506169,0.243,0.222,1,0.00485847855569234
"TNFAIP3",0.00326938238187485,-0.0381149727423155,0.386,0.356,1,0.00490275420946204
"RASGEF1B",0.00331093321219136,0.0145300710160871,0.219,0.175,1,0.00496105960342867
"ANGPTL4",0.00332254616651015,-0.00149126346415224,0.23,0.183,1,0.00497204920940974
"PTTG1IP",0.00332361954687131,-0.0931783764467489,0.419,0.436,1,0.00497204920940974
"KLHL21",0.00337498673672911,0.000940153776429142,0.275,0.229,1,0.00504483134098366
"FDFT1",0.00353702731130289,0.0927373100973589,0.528,0.399,1,0.00528279481061155
"CTNNB1",0.00365493740608898,-0.0892184690456244,0.417,0.44,1,0.00545451702852475
"IGHG3",0.00367763860943201,-0.0113367731682157,0.461,0.351,1,0.00548399079961851
"SERPINB5",0.00371519397999227,0.0931839892439236,0.502,0.349,1,0.00553554965102297
"FAM83H",0.00389050789225671,0.0613956603364812,0.336,0.239,1,0.00579211832036295
"CDK16",0.00390740889316546,0.0628780376923976,0.338,0.232,1,0.0058126226769427
"HLA-A",0.00391152297218848,-0.215252645812577,0.724,0.749,1,0.00581408774586096
"SERTAD2",0.00391701690017378,-0.0513543948497632,0.383,0.361,1,0.00581759984054586
"IL32",0.00394905509558568,0.0771051150166631,0.906,0.825,1,0.00586049869616469
"PNPT1",0.00402967868580118,-0.0492586982627412,0.218,0.214,1,0.00597249981410745
"RNF149",0.00403095520284755,-0.0571053648655901,0.31,0.308,1,0.00597249981410745
"NET1",0.00424998675734149,0.0533374525886933,0.421,0.312,1,0.00629201226704421
"SPHK1",0.00455059886432281,-0.00224618188576631,0.354,0.306,1,0.00673169800152212
"UBR4",0.00477636674899905,-0.0660488532886882,0.291,0.289,1,0.0070600552264441
"CDH3",0.00479188972086384,0.0986222955170743,0.407,0.268,1,0.00707450172703539
"PRELID1",0.00479375547596209,-0.0795527634684901,0.722,0.722,1,0.00707450172703539
"HLA-DPB1",0.00480337408582391,-0.252807352295403,0.288,0.36,1,0.00708307067576256
"RCE1",0.00489741083793631,0.0119712782861197,0.268,0.232,1,0.00721601057643589
"USP9X",0.00498953288713298,0.0234581395175573,0.296,0.236,1,0.0073459208433384
"CDCP1",0.00500827032143188,-0.0382929130463275,0.25,0.244,1,0.00736766924562188
"MX1",0.00501681439316806,-0.101145486702954,0.416,0.426,1,0.00737439963805874
"DLG1",0.00504254415467382,0.0725966700077654,0.465,0.364,1,0.00740636129595569
"FRYL",0.0051494086760751,-0.00565017528393141,0.241,0.202,1,0.00755734701433454
"NR1H2",0.00522157420846076,-0.0157267163894115,0.339,0.308,1,0.00765720984950284
"PSMB9",0.00535031866606203,-0.0982755992802183,0.683,0.688,1,0.00783982025358301
"CDK18",0.00539273675937286,-0.0187742678130632,0.229,0.203,1,0.007895748541304
"ANKRD36B",0.00545966237405028,-0.0522744642410163,0.189,0.203,1,0.00798744306376804
"TMEM30A",0.0054970980590033,-0.0116425300187658,0.512,0.443,1,0.00803588370859805
"PTPN12",0.00573807525914542,-0.0106384828606877,0.376,0.333,1,0.00838155961595298
"LAP3",0.00595926054176119,-0.0222655894495324,0.579,0.526,1,0.00869780525262552
"ARNTL2",0.00597250847066402,-0.0428547963506026,0.315,0.304,1,0.00871029885282083
"CNN3",0.00598492746736857,-0.0563379734496584,0.553,0.532,1,0.0087215648897026
"ALG3",0.00600159161199902,0.0580461013274788,0.461,0.371,1,0.00873899468267569
"PGD",0.00601854140051538,0.0185347178690609,0.508,0.44,1,0.00875681278164258
