"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"TRAPPC3",0.000341179859456098,0.665853817460923,0.837,0.483,1,0.0913348041772093
"SCAP",0.000341880463584272,0.988277529456923,0.641,0.345,1,0.0913348041772093
"ANXA2P2",0.000342508814645441,0.207258339190992,1,0.931,1,0.0913348041772093
"ARRB1",0.000350338262335189,1.06432386411847,0.228,0,1,0.0913348041772093
"RAB14",0.000367164990852369,1.11878046745496,0.522,0.172,1,0.0913348041772093
"GSKIP",0.00037401151229,1.11666586358263,0.228,0,1,0.0913348041772093
"SMCO4",0.000374905222200656,1.41411404984151,0.261,0.034,1,0.0913348041772093
"STAT2",0.000392824404125567,1.06306410084193,0.565,0.276,1,0.0913348041772093
"MTHFD1L",0.000404594559523642,1.10251357780867,0.489,0.172,1,0.0913348041772093
"CD74",0.000414280389255631,-1.17759216378815,0.033,0.172,1,0.0913348041772093
"KCMF1",0.000420572818395949,1.06633747978064,0.359,0.034,1,0.0913348041772093
"GINS2",0.000445574817516489,0.915506564460166,0.663,0.276,1,0.0913348041772093
"STX5",0.000452764477649558,0.966244630341182,0.467,0.103,1,0.0913348041772093
"DCAF13",0.000459084027127547,1.02630205479609,0.598,0.241,1,0.0913348041772093
"TMEM183A",0.000462231808102517,0.935157733339994,0.609,0.241,1,0.0913348041772093
"POP7",0.000477208788118228,1.28554398812221,0.457,0.103,1,0.0921012961068181
"COG4",0.000493437844391179,1.11711026896293,0.543,0.207,1,0.0930691061500544
"PPM1K",0.000508418656918717,0.962909644577305,0.598,0.276,1,0.0937636985281874
"EZR",0.000529079754727453,0.529502746464257,0.924,0.655,1,0.0943502673713744
"PGDP1",0.000534336976316978,0.610391017393587,0.217,0,1,0.0943502673713744
"NARS",0.000559865543309059,0.72447221273201,0.793,0.414,1,0.0955703001134962
"BCL2L11",0.000566323984695187,0.931121547390205,0.609,0.276,1,0.0955703001134962
"SRP19",0.000590074959085296,0.869436907678397,0.511,0.172,1,0.0955703001134962
"RP11-817I4.2",0.000593381437202741,-0.784670093553194,0,0.138,1,0.0955703001134962
"FZD6",0.000648963526207993,0.841637515867443,0.728,0.31,1,0.0955703001134962
