"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","fdr"
"LMO1",0.00100073984051055,1.16963409186437,0.446,0.138,1,0.104341845135585
"AP2A1",0.00104228107707051,0.97081977672936,0.511,0.172,1,0.106630125084855
"SNAPC2",0.00106176827585379,1.23618728708717,0.348,0.069,1,0.106630125084855
"ADD2",0.00108388394602245,0.870146241147446,0.196,0,1,0.106630125084855
"HMGN1P3",0.00110154306113772,1.09463985250248,0.196,0,1,0.106630125084855
"ZNF696",0.00110794910659507,0.710546531385434,0.196,0,1,0.106630125084855
"SEPT8",0.00111292373149214,1.07689545592011,0.424,0.103,1,0.106630125084855
"TBCB",0.00113338818056724,0.49674194371365,0.902,0.621,1,0.107142962669623
"ATXN10",0.00118744876679509,0.542650006867473,0.859,0.621,1,0.109162538940779
"IK",0.0011888859465,0.778802277255877,0.717,0.379,1,0.109162538940779
"IGSF9",0.00120094189525822,0.805567474028996,0.696,0.345,1,0.109162538940779
"KRCC1",0.00121678289042121,1.00489532341262,0.554,0.172,1,0.109202413836536
"RP11-651P23.4",0.00124101978501157,1.00010128779735,0.489,0.138,1,0.109857279237919
"LGR4",0.00125635879932145,1.04631397228345,0.402,0.138,1,0.109857279237919
"TUBA1A",0.00128361525621641,0.235071298535872,1,0.966,1,0.109857279237919
"TXN",0.00128605841703065,0.316642890325236,0.957,0.793,1,0.109857279237919
"SNRNP25",0.00136010446974022,1.27122346352646,0.359,0.069,1,0.114799293934026
"CENPJ",0.00143424637664462,1.05650879689899,0.402,0.069,1,0.117640919575003
"MT2A",0.00144248846250292,0.241654379898894,0.989,0.862,1,0.117640919575003
"PTN",0.00144354866051132,1.03913214242462,0.489,0.172,1,0.117640919575003
"USP39",0.00147394282005782,1.00543883120032,0.543,0.207,1,0.11862025507757
"MED7",0.00150365927844203,0.959633533671893,0.185,0,1,0.11862025507757
"PRELID3B",0.0015252567787053,0.477334423010555,0.859,0.586,1,0.11862025507757
"OAT",0.00154400508155764,0.370416181070893,0.946,0.724,1,0.11862025507757
"AAMP",0.00157708429836379,0.542402796066379,0.848,0.655,1,0.11862025507757
"PES1",0.00158279922745185,0.791965257607243,0.674,0.345,1,0.11862025507757
"CLIP3",0.00158626925894756,0.659474112435036,0.185,0,1,0.11862025507757
"AC004540.5",0.00158941103418465,1.07533124236974,0.185,0,1,0.11862025507757
"ENTPD7",0.00171153368812752,1.02841909314222,0.25,0.034,1,0.125697166807277
"FDFT1",0.00172600635950624,0.645342685355549,0.772,0.448,1,0.125697166807277
"KNTC1",0.00173884557889162,0.692713601178892,0.717,0.379,1,0.125697166807277
"PCSK7",0.00175515084822573,0.996655039520255,0.37,0.172,1,0.125697166807277
"CENPW",0.00185456711095107,0.99914306055115,0.489,0.172,1,0.131488808166431
"NOP10",0.001900257996663,0.883644182620903,0.587,0.241,1,0.133394348478621
"ICAM1",0.00193107625119636,-1.0230273324977,0.054,0.207,1,0.133938886962496
"EIF4E3",0.00196682618734137,-0.868198953515573,0.13,0.31,1,0.133938886962496
"UBE2F",0.00198570611364185,1.05921584357283,0.391,0.138,1,0.133938886962496
"PIK3R3",0.00199494473146598,1.00318058535502,0.38,0.138,1,0.133938886962496
"B3GALNT2",0.00210947630002618,1.00460077059058,0.315,0.069,1,0.133938886962496
"CTD-2206N4.4",0.00215412668578319,-0.500396453301966,0,0.103,1,0.133938886962496
"FMO2",0.00215412697155587,-0.857424769800086,0,0.103,1,0.133938886962496
"MED15",0.00217533732999822,0.635163184880366,0.772,0.483,1,0.133938886962496
"CCDC66",0.00220509333566733,0.942453930752702,0.478,0.172,1,0.133938886962496
"DCTN2",0.00221702627523388,0.727494412350621,0.696,0.414,1,0.133938886962496
"AC025335.1",0.00224628146449685,0.7961778753244,0.174,0,1,0.133938886962496
"PRSS16",0.00225137427813171,0.862718935080372,0.174,0,1,0.133938886962496
"MCOLN1",0.00225799631357606,0.81933132010007,0.652,0.276,1,0.133938886962496
"C1orf95",0.00225965848417464,0.984439666433304,0.25,0.103,1,0.133938886962496
"CNN2",0.00226188798117306,0.308773478184976,0.978,0.793,1,0.133938886962496
"AC073410.1",0.00226641082216212,-0.881083048304719,0.011,0.138,1,0.133938886962496
"VOPP1",0.00226694852531977,0.709750344787892,0.174,0,1,0.133938886962496
"ZNF93",0.00226694860035831,0.779794674970588,0.174,0,1,0.133938886962496
"ZMYND10",0.00226694872150909,1.02419941092491,0.174,0,1,0.133938886962496
"CDC42BPG",0.00231460910279246,0.939841305851396,0.348,0.069,1,0.134177927252131
"POLR2L",0.0023202359869272,0.542688294350532,0.826,0.483,1,0.134177927252131
"SYPL1",0.00232776940084797,0.520222901829638,0.848,0.552,1,0.134177927252131
"RECQL4",0.00243954328641338,1.08119173723682,0.283,0.103,1,0.13706306989182
"ETFDH",0.0024482672661556,0.894452445170851,0.304,0.069,1,0.13706306989182
"MOB3A",0.00247346577125926,1.01241012921373,0.435,0.138,1,0.13706306989182
"FN3KRP",0.00248259774049643,1.08279985640053,0.424,0.138,1,0.13706306989182
"SECTM1",0.00252079369870976,0.811466261110787,0.163,0,1,0.13706306989182
"PIGR",0.00256047651159828,-0.908440620023734,0.011,0.103,1,0.13706306989182
"TP73",0.00256594131882279,0.943461390170688,0.25,0.034,1,0.13706306989182
"VIM",0.00257627367267056,0.119237404936133,1,0.966,1,0.13706306989182
"EWSR1",0.00257660770899214,0.452216746815613,0.891,0.759,1,0.13706306989182
"KLF10",0.00258727889506863,0.929250872202635,0.533,0.241,1,0.13706306989182
"PHF5A",0.00259047268906966,0.793595045062686,0.576,0.276,1,0.13706306989182
"AC007250.3",0.00261122277599384,0.390590777963941,0.902,0.69,1,0.13713755171701
"HMCES",0.00266963219145514,1.04728182867229,0.413,0.172,1,0.138519982198806
"MAK16",0.00267662024841134,0.955780748119552,0.413,0.138,1,0.138519982198806
"LASP1",0.00270726603233585,0.788802217050755,0.62,0.31,1,0.139090696878704
"XRCC5",0.00275823202457843,0.391753635080385,0.946,0.69,1,0.139119088867826
"ZFP64",0.00279792744289079,1.02741922997092,0.293,0.069,1,0.139119088867826
"MYBPH",0.00282435682491409,-0.61858913535174,0,0.103,1,0.139119088867826
"ASB8",0.00282738495084734,1.12376282975465,0.217,0.069,1,0.139119088867826
"UQCRC1",0.00283341729744995,0.294513379242128,0.967,0.862,1,0.139119088867826
"COG2",0.00283580538646094,1.10458392449994,0.337,0.069,1,0.139119088867826
"EDN1",0.00284941110910331,1.19495110865677,0.348,0.069,1,0.139119088867826
"C1orf226",0.00289222828449637,-0.87202580548114,0.043,0.172,1,0.139119088867826
"CA8",0.00295010236353761,0.958517395973894,0.5,0.172,1,0.139119088867826
"KCNK5",0.00295367243116975,-0.758293282709715,0.011,0.138,1,0.139119088867826
"FOSL1",0.00297200516265933,1.14155659435231,0.38,0.103,1,0.139119088867826
"AIMP2",0.00304371448227282,1.11261094517296,0.337,0.069,1,0.139119088867826
"GLIPR1",0.0030643486935259,0.743506528323757,0.163,0,1,0.139119088867826
"OBP2B",0.00315884038724113,0.663412579726299,0.739,0.448,1,0.139119088867826
"ZNF502",0.00316452237337676,0.697223917133592,0.163,0,1,0.139119088867826
"ZNRF3",0.00316452239257982,0.632460126638443,0.163,0,1,0.139119088867826
"VASN",0.003164522635011,0.864575537511938,0.163,0,1,0.139119088867826
"CP",0.00318013929586363,-0.921553604960659,0.011,0.103,1,0.139119088867826
"ZNF280C",0.00321597539331898,0.760583123692383,0.163,0,1,0.139119088867826
"SAP30L",0.00321597566790994,0.634447947873281,0.163,0,1,0.139119088867826
"LAPTM5",0.0032159757595556,0.794477005375146,0.163,0,1,0.139119088867826
"AP000347.4",0.00321686967970616,0.730620873394751,0.163,0,1,0.139119088867826
"SNORD65",0.00321686978593394,1.20266232659393,0.163,0,1,0.139119088867826
"SCML2",0.00321687015910957,0.77578737503307,0.163,0,1,0.139119088867826
"IQCG",0.00321687020682404,0.754405563666358,0.163,0,1,0.139119088867826
"TC2N",0.00321798738706961,-0.756059302959954,0.174,0.379,1,0.139119088867826
"TTC27",0.00327682602852271,1.03498059397517,0.38,0.103,1,0.140375201782541
"COPS6",0.00328664083157994,0.642759082201518,0.728,0.483,1,0.140375201782541
"MTHFD2",0.00332608926059149,0.455723181985677,0.837,0.621,1,0.141209418308944
"MCM7",0.00338139943779098,0.285215592491272,0.967,0.828,1,0.142703107225822
"SLC6A9",0.00341735297342572,0.950020868189958,0.37,0.138,1,0.142796929090914
"PACSIN2",0.00344798475829543,0.658037503090192,0.717,0.414,1,0.142796929090914
"CDK7",0.00345986966764787,0.987075732194619,0.457,0.172,1,0.142796929090914
"TAOK3",0.00346418502166957,0.686688736903997,0.707,0.448,1,0.142796929090914
"ARF6",0.00349761956627225,0.723361487924882,0.674,0.379,1,0.142914022055582
