"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"E2F7";3,905370929169e-34;1,18034500944748;0,35;0,04;1,57140410076973e-29
"PKP3";5,50843174026288e-34;1,44455521157538;0,626;0,172;2,21642767932957e-29
"ZWINT";7,1840124007134e-34;1,49850745215794;0,52;0,11;2,89063106967505e-29
"KLK5";7,97888460171805e-34;1,4234125719465;0,276;0,02;3,21046379719329e-29
"TPD52";1,33408084586557e-33;1,17637712673974;0,772;0,283;5,36794109950931e-29
"RPL39P3";1,75892644322245e-33;-0,371907315815714;0,911;0,983;7,07739232959417e-29
"HAUS5";1,86275743337094e-33;1,27151383323735;0,772;0,331;7,49517708465463e-29
"SDC4";2,04586835233918e-33;0,679491127783779;0,959;0,726;8,23196048930716e-29
"EPHB1";8,50628898450987e-33;1,33409147774379;0,39;0,058;3,42267549869724e-28
"MCM6";8,73811221084533e-33;1,45532098346162;0,569;0,139;3,51595421027784e-28
"GLUD1";1,37523115271264e-32;1,26886938231421;0,748;0,273;5,53351758916984e-28
"ACTN4";1,46557098858453e-32;0,367802753789435;0,984;0,936;5,89701798676758e-28
"ARHGEF3";2,14275649493537e-32;1,29977755837071;0,691;0,219;8,62180930867143e-28
"CENPU";2,59541847433245e-32;1,33701482741991;0,439;0,072;1,04431853151715e-27
"KRT7";2,96006197405372e-32;0,955615261200997;0,935;0,501;1,1910401365e-27
"TYMS";3,14239590842134e-32;1,45273043509734;0,61;0,192;1,26440584167149e-27
"IL12RB2";5,6030357665385e-32;1,24815224846708;0,407;0,064;2,2544935013821e-27
"PTTG1IP";6,61314932990152e-32;0,446057438323657;0,943;0,831;2,66093289587248e-27
"ITM2A";9,85136253100769e-32;-2,64778118302084;0;0,62;3,96389274160156e-27
"EPB41L1";1,25252253920961e-31;1,15842229088041;0,675;0,214;5,0397749410177e-27
"SNRPB";1,68456178797815e-31;0,428792337025652;0,959;0,814;6,77817126628768e-27
